"","week","analytics","api","artificial intelligence","big data","clustering","data mining","data science","data scientist","data warehouse","deep learning","etl","excel","github","hadoop","iot","java","machine learning","matlab","minitab","modeling","python","R","regression","sql","statistician"
"179","2018-05-20",76,70,71,77,81,61,60,74,80,88,87,93,57,60,88,53,79,76,66,74,75,56,60,85,59
"180","2018-05-27",68,69,68,79,77,63,59,71,78,83,82,88,54,59,87,51,77,72,61,72,73,55,62,80,61
"181","2018-06-03",71,72,69,79,72,63,60,72,74,89,91,94,100,61,88,53,81,72,67,74,75,55,60,86,59
"182","2018-06-10",67,70,63,76,70,53,63,79,73,91,85,90,60,58,87,51,79,67,56,71,77,54,55,81,51
"183","2018-06-17",68,72,59,74,72,53,55,68,68,80,84,87,56,57,81,50,77,64,60,71,81,54,53,82,60
"184","2018-06-24",67,71,61,74,68,56,59,70,72,83,86,88,56,57,84,49,76,63,57,69,73,58,51,81,60
"185","2018-07-01",62,69,59,72,69,54,54,67,65,80,77,85,53,53,81,49,73,61,55,69,68,52,46,76,61
"186","2018-07-08",64,71,64,73,69,57,62,69,73,85,85,88,55,61,82,50,77,62,56,74,75,51,49,81,69
"187","2018-07-15",61,71,64,78,68,56,62,68,69,84,86,88,56,58,86,51,79,63,53,75,74,51,51,83,61
"188","2018-07-22",62,70,63,73,67,53,61,69,73,81,88,88,55,61,87,51,79,62,55,73,74,53,51,81,65
"189","2018-07-29",66,72,66,77,72,54,63,72,67,83,86,89,58,62,91,51,77,61,56,75,74,52,50,82,73
"190","2018-08-05",62,70,66,75,66,60,63,70,73,80,84,85,55,57,87,50,79,59,50,73,72,50,49,80,49
"191","2018-08-12",57,67,63,71,66,52,60,73,70,73,78,80,53,53,81,48,73,58,52,71,69,51,51,75,72
"192","2018-08-19",60,70,59,74,61,57,66,71,65,83,80,84,56,57,86,49,77,61,54,72,74,52,50,79,64
"193","2018-08-26",60,70,64,80,68,59,68,79,75,91,84,88,57,56,87,50,78,68,60,71,76,52,50,79,68
"194","2018-09-02",63,70,70,82,68,62,73,76,77,87,84,88,54,58,89,51,79,71,67,73,76,53,51,79,65
"195","2018-09-09",62,69,71,88,72,63,69,83,75,89,82,91,58,57,88,52,84,76,70,76,80,55,55,79,72
